19801
10324,19691
7539,14890
1142,7924
8499,4378
3736,10259
9114,10425
3428,19014
17210,8206
9532,15408
16216,10208
12466,18638
16049,4746
8617,4341
15116,12703
948,9602
15906,14142
6440,4795
3431,12093
11374,1442
18779,4165
17907,13276
3813,6693
13480,19175
12192,5267
17825,4618
3044,5379
4808,16974
6734,8435
15920,19589
11125,2781
15800,5646
7834,11250
16823,9734
11154,18790
9442,13055
4242,4782
8830,4063
506,8658
15228,15959
3761,7526
15162,2685
1849,280
2386,14018
16681,10386
3862,5019
11515,1293
3573,17438
17630,19314
7119,1326
5930,3777
9136,140
7538,3966
2983,7413
18371,8933
560,7487
13095,17521
529,9756
3242,5382
15445,2290
2626,17758
1314,13953
16210,12432
7766,9910
7073,18861
14251,11168
15525,14133
12137,5740
5286,15801
4324,17020
4423,719
11926,6648
6806,6867
12180,7340
14023,1557
11381,5763
6444,15254
5906,11119
9126,18029
18635,5690
7534,16610
17968,19303
9394,13402
7523,13452
2481,1769
19307,8816
8759,2836
7977,19188
15814,18175
16905,9644
11331,18273
16512,13902
0,6056
9753,2570
8593,1057
2411,15384
960,6954
17303,7879
0,424
567,4247
307,6
3443,4469
14795,11242
4565,15776
18887,3242
16314,5319
10485,2874
6016,14555
7773,19801
4933,5811
3975,15097
13295,15598
3902,14650
5621,216
18897,11745
13774,7468
12344,2272
7872,107
5330,12768
19219,5148
7350,14057
1708,5180
9883,15534
9994,14190
14795,2042
4328,19221
2526,8127
2891,17922
7047,19195
7572,10467
7795,18073
6017,415
10134,18281
14123,12943
7010,8450
14474,8622
3905,5285
3286,8707
16363,16767
8722,13594
13433,14770
13166,17356
10287,19801
10946,1321
7061,1522
9238,15688
17621,8207
17142,11921
6043,5405
7983,16061
10116,16919
14417,2551
9127,10076
8276,4952
8215,2041
18876,6724
407,5143
10514,10982
6271,6573
8529,1000
10325,9496
16782,2634
1638,2690
115,515
5334,5005
3470,11655
2797,6391
14661,19310
4924,7806
12215,629
15396,12255
10793,5979
11624,16831
7728,5010
1196,14313
14897,1296
14606,12216
7212,16682
14478,13439
18322,7882
3083,15878
4785,928
13954,4967
4132,758
8225,15030
2875,1559
4092,8110
14376,1334
8793,2992
12514,8844
11222,6091
4339,10233
12731,12610
14212,3384
15266,3815
14940,7977
17895,8512
4153,19356
5636,12029
5517,15569
14947,18242
16595,8137
18548,2349
1723,7677
18347,14994
8297,10139
19786,15027
8391,14846
18881,11404
4628,12069
12879,13882
14565,10896
14004,16720
718,14183
18988,14922
4367,12510
18893,3723
16869,2137
6917,10328
13385,809
529,10151
3442,10108
7421,10270
18000,16962
12390,8986
14662,17003
15062,6357
0,12122
7035,12642
265,1457
14446,17445
37,17204
4520,17177
13586,15630
2649,9227
13417,426
10682,16561
13571,19319
19409,19561
16722,15139
14786,2991
3815,11257
9934,4338
18172,9700
18137,18180
11160,2637
12146,5368
38,4260
12560,16515
19455,19597
17936,4952
3210,8798
5424,9709
11696,17479
10995,18529
5779,4550
7353,13088
6416,303
1526,9767
440,2986
4707,6771
7751,13936
5510,12285
16125,7607
7394,1077
7862,14670
17420,10995
17951,18348
18363,5745
16332,11804
5429,18880
15544,9671
10909,5227
10502,4063
5795,19597
5034,7740
17283,7378
8308,19736
14917,4520
17891,4981
7952,4753
1524,8643
8131,801
12643,259
14285,16510
17130,5729
8748,14751
883,6742
17530,7282
3207,14832
5331,4629
12831,5456
369,9368
13762,17820
5650,2835
18826,8229
3128,13668
16377,9757
7802,16132
13173,15865
8542,2485
334,15052
5434,9025
594,2181
6877,11959
12910,8470
15855,7
9732,8243
6131,8681
18806,7084
6503,5277
6350,11878
19385,2856
1192,3399
10369,4325
11313,5200
2946,3519
11512,6226
19042,5281
10812,15756
9396,6483
11648,8188
7400,14254
12020,11405
12499,19801
9634,16687
2852,17507
8439,340
9626,6069
4461,13231
9935,11464
8798,3079
11539,3710
14799,13535
14286,18955
5208,8122
17984,7688
13692,13648
9277,13730
115,7113
19465,9774
14284,360
12575,11366
8484,14012
3269,14404
1099,4266
6264,14136
7153,2696
19099,13959
15028,14038
5951,8007
17566,14299
18690,18852
11842,18684
6007,4341
169,15876
8379,5166
1714,15037
14675,18664
8271,6701
6503,6658
6777,8136
4837,3187
5157,6472
6709,4155
13171,15327
11561,9464
8841,16811
16157,6269
1220,6295
0,8691
9645,3412
1354,11315
3465,18240
12865,10687
19233,4672
5092,18915
18923,14345
9517,19175
13291,9694
3992,1166
2014,10913
15494,1081
16389,7599
4527,15753
14086,6536
16541,18988
19606,9324
5558,6264
19135,10173
1523,5273
9334,16852
6185,1484
16393,13215
10230,13961
7575,15775
2220,4621
2306,1960
1199,10036
18192,9730
234,3234
19254,9683
18462,18336
6095,6846
16128,14423
9422,12008
2515,8099
3418,16587
6346,3938
7163,18700
4030,9673
14759,3238
12441,4551
6299,8688
4731,16330
4716,7480
7884,5214
1625,6467
15810,1390
16218,4945
200,5646
17318,17513
0,6458
6699,9113
2595,10958
5959,19124
6369,5326
8110,12348
16881,18032
18295,3953
18399,17407
14495,3569
11249,16965
13790,12669
5094,1074
8262,8566
2170,14766
2836,1635
16945,7360
1565,9046
7995,4532
10066,12563
10989,6617
8898,6865
8224,16457
11511,13423
1888,478
8799,12475
18681,15740
515,3865
9240,1836
2581,3627
1267,4329
6648,17623
836,8327
4684,18786
6435,1531
6108,15504
5581,1705
18189,1150
18873,12627
19507,12993
18842,12956
14993,11669
2261,15917
2123,17504
16149,9607
12452,19449
473,1426
572,16754
5180,9213
15455,10885
1992,5731
17193,8160
1746,12608
5550,11566
18809,5555
2689,7909
19209,18160
15542,2338
10011,17616
9071,173
16335,5838
4019,5237
3170,6353
16970,2892
6389,1550
17536,17403
7066,6232
708,14904
3326,14454
2389,9429
2175,15117
2170,12753
15655,17649
11193,4023
9203,13561
10875,3416
14010,18897
17847,77
13324,18374
11986,9947
369,16580
1445,13866
8328,6835
2085,5239
3274,15661
3513,14867
17524,7792
9904,17109
8546,1882
19124,13592
12770,16479
14583,12788
16140,6009
4756,18970
16729,445
16316,17495
19630,2458
8470,3077
9670,19801
16807,9656
763,9712
2935,16128
13365,2526
14951,1579
6927,11961
17393,1285
13319,9637
6589,8899
4421,8614
18542,8403
4142,12251
970,16728
2182,6409
2729,4926
8348,4602
2948,14229
1660,8669
5288,5849
11140,11120
6912,19575
8883,2761
16017,12145
5017,7421
10907,11504
654,5360
7717,7581
17319,2380
4594,17593
18963,18232
16483,7626
9379,5883
5166,15072
17167,5280
15126,50
9467,17239
13543,5291
12674,10407
12402,11985
19524,6131
1285,12212
17379,1
10761,14725
667,2306
13179,15745
18210,4496
13994,16482
8119,5241
4144,6434
11391,5468
19557,12859
0,13874
10752,13819
